MarketId,Country,Admin1,Admin2,MarketName,Latitude,Longitude
3739,Congo,Cuvette,Loukolela,Loukolela Centre,-1.039356,17.10848
3740,Congo,Likouala,Liranga,Liranga Centre,-0.6646576,17.61073
3741,Congo,Likouala,Impfondo,Impfondo Centre,1.613293,18.06229
3742,Congo,Likouala,Dongou,Dongou Centre,2.041945,18.05422
3743,Congo,Likouala,Betou,Betou Centre,3.057103,18.51775
3744,Burundi,Ngozi,Tangara,Tangara,-2.915745,29.966564
3798,United Republic of Tanzania,Dar-es-salaam,Kinondoni,Mwananyamala,-6.785751767,39.25183539
3799,United Republic of Tanzania,Dar-es-salaam,Kinondoni,Tegeta Nyuki,-6.658221907,39.18416996
3800,United Republic of Tanzania,Dar-es-salaam,Ilala,Ilala Boma,-6.827288333,39.26283833
3801,United Republic of Tanzania,Dar-es-salaam,Ilala,Kariakoo,-6.819530712,39.27524982
3802,United Republic of Tanzania,Dar-es-salaam,Kinondoni,Mabibo,-6.801290642,39.22445205
3803,United Republic of Tanzania,Dar-es-salaam,Kinondoni,Mawasiliano,-6.786959809,39.21814333
3804,United Republic of Tanzania,Dar-es-salaam,Temeke,Stereo,-6.860476667,39.26110333
3806,Mozambique,Manica,Sussundenga,Mossurize,-20.198363333333337,33.196194999999996
3807,United Republic of Tanzania,Mwanza,Nyamagana,Buhongwa,-2.62654803,32.94531665
3808,United Republic of Tanzania,Mwanza,Nyamagana,Mbugani,-2.518217403,32.90845441
3809,United Republic of Tanzania,Mwanza,Nyamagana,Mkuyuni,-2.556282408,32.91384036
3810,United Republic of Tanzania,Mwanza,Nyamagana,Nyegezi,-2.593737955,32.92386611
3811,United Republic of Tanzania,Mwanza,Nyamagana,Mirongo,-2.516390437,32.90501493
3812,United Republic of Tanzania,Mwanza,Ilemela,Kirumba,-2.503411518,32.89908553
3813,United Republic of Tanzania,Mwanza,Ilemela,Kitangiri,-2.490825096,32.89789121
3814,United Republic of Tanzania,Mwanza,Ilemela,Ibungiro,-2.489396328,32.92022113
3815,United Republic of Tanzania,Mwanza,Ilemela,Buzuruga,-2.534353956,32.94002852
3816,United Republic of Tanzania,Mwanza,Ilemela,Sabasaba,-2.469713531,32.9162378
3817,United Republic of Tanzania,Mjini Magharibi,Mjini,Kwa Mabata,-6.170856,39.225145
3818,United Republic of Tanzania,Mjini Magharibi,Mjini,Mombasa Kwa Mchina,-6.190865102,39.21791901
3819,United Republic of Tanzania,Mjini Magharibi,Mjini,Mwanakwerekwe,-6.1759841,39.2218199
3820,United Republic of Tanzania,Mjini Magharibi,Mjini,Darajani,-6.161974021,39.19330547
3821,United Republic of Tanzania,Mjini Magharibi,Magharibi,Jumbi,-6.1952941,39.2818735
3822,United Republic of Tanzania,Mjini Magharibi,Magharibi,Ngalawa,-6.081103451,39.21385726
3823,United Republic of Tanzania,Mjini Magharibi,Mjini,Saa Teni,-6.15476304,39.2063381
3824,United Republic of Tanzania,Mjini Magharibi,Mjini,Kwa Haji Tumbo,-6.1624726,39.2109803
3825,United Republic of Tanzania,Kaskazini Unguja,Kaskazini A,Mkokotoni,-5.87497194,39.25519978
3826,Tunisia,Siliana,Siliana Nord,Siliana Nord,36.0878,9.3652
3828,Tunisia,Siliana,Rouhia,Elhariya,35.6562,9.0555
3829,Tunisia,Siliana,Kissra,Kesrra,35.7981,9.3574
3830,Mauritania,Hodh Ech Chargi,Amourj,"Amourj ",16.10844147,-7.213870129
3925,Iraq,Thi-Qar,Al-Chibayish,Al-Chibayish,30.999455,47.002816
3928,Iraq,Wassit,Al-Hai,Al-Hai,32.176944,46.042222
3930,Iraq,Kirkuk,Al-Hawiga,Al-Hawiga,35.26,43.43
3931,Iraq,Kerbala,Al-Hindiya,Al-Hindiya,32.34,44.176389
3933,Iraq,Missan,Al-Kahla,Al-Kahla,31.67,47.27
3937,Iraq,Babil,Al-Mahawil,Al-Mahawil,32.66,44.4
3945,Iraq,Muthanna,Al-Rumaitha,Al-Rumaitha,31.52,45.2
3955,Iraq,Basrah,Al-Zubair,Al-Zubair,30.38,47.7
3959,Democratic Republic of the Congo,Sud-Kivu,Walungu,Mugogo,-2.582215,28.75418
3960,Democratic Republic of the Congo,Sud-Kivu,Walungu,Walungu,-2.619071,28.680348
3961,Iraq,Salah al-Din,Baiji,Baiji,34.93,43.48
3962,Democratic Republic of the Congo,Sud-Kivu,Walungu,Kaniola,-2.59443,28.61702667
3965,Iraq,Diyala,Al-Muqdadiya,Ba'quba,33.764187,44.648688
3968,Democratic Republic of the Congo,Sud-Kivu,Mwenga,Kilungutwe,-2.88809,28.57328667
3969,Democratic Republic of the Congo,Sud-Kivu,Kamituga,Kamituga,-3.064993333,28.18509167
3971,Democratic Republic of the Congo,Sud-Kivu,Mwenga,Mwenga,-3.028333,28.441435
3972,Democratic Republic of the Congo,Sud-Kivu,Mwenga,Kasika,-2.940095,28.52544
3973,Democratic Republic of the Congo,Sud-Kivu,Walungu,Kakinda,-2.696631,28.548433
3975,Democratic Republic of the Congo,Sud-Kivu,Bukavu,Kadutu,-2.5201,28.8516
3978,Iraq,Anbar,Falluja,Falluja,33.35,43.78
3980,Iraq,Sulaymaniyah,Halabja,Halabja,35.17,45.98
3982,Democratic Republic of the Congo,Kinshasa,Kinshasa,Kinkole Pecheurs,-4.32198455,15.51229137
3983,Iraq,Qadissiya,Hamza,Hamza,31.58,44.64
3984,Democratic Republic of the Congo,Kinshasa,Kinshasa,Buma,-4.46637614,15.46070082
3985,Democratic Republic of the Congo,Kinshasa,Kinshasa,Domaine,-4.21756627,15.57735316
3986,Democratic Republic of the Congo,Kinshasa,Kinshasa,Mbila,-4.42059385,15.45648056
3990,Iraq,Babil,Al-Musayab,Hilla,32.479278,44.420259
3992,Iraq,Baghdad,Kadhmiyah,Karkh,33.335884,44.377429
3993,Iraq,Diyala,Khanaqin,Khanaqin,34.34,45.38
3997,Iraq,Wassit,Kut,Kut,32.493554,45.833659
4010,Iraq,Ninewa,Sinjar,Sinjar,36.3178969,41.8599139
4011,Iraq,Erbil,Soran,Soran,36.632767,44.514541
4015,Iraq,Ninewa,Telafar,Telafar,36.37,42.45
4018,Iraq,Dahuk,Zakho,Zakho,37.14,42.68
4102,Lesotho,Thaba-Tseka,Linakeng,Linakeng,-29.5320933,28.7860805
4103,Lesotho,Thaba-Tseka,Tenesolo,Tenesolo,-29.5154371,28.2934129
4104,Lesotho,Thaba-Tseka,Bokong,Bokong,-29.3459004,28.4872023
4111,Democratic Republic of the Congo,Kinshasa,Kinshasa,UPN,-4.40599,15.256435
4118,Democratic Republic of the Congo,Kongo-Central,Seke-Banza,Kinzau-Mvuete,-5.49892,13.28622
4119,Democratic Republic of the Congo,Kongo-Central,Seke-Banza,Sanda,-5.608295,13.44628
4120,Democratic Republic of the Congo,Kongo-Central,Songololo,Songololo,-5.69789931,14.0387468
4121,Democratic Republic of the Congo,Kongo-Central,Mbanza-Ngungu,Kwilu Ngongo,-5.49999,14.68457333
4122,Democratic Republic of the Congo,Kongo-Central,Mbanza-Ngungu city,Mbanza-Ngungu,-5.25799,14.85997667
4123,Democratic Republic of the Congo,Kwango,Kenge,Barriere,-4.803285,17.03773667
4124,Democratic Republic of the Congo,Kwango,Kenge city,Central de Kenge,-4.821815,17.03947833
4126,Democratic Republic of the Congo,Kwilu,Masi-Manimba city,Central de Masimanimba,-4.773883333,17.88507667
4128,Democratic Republic of the Congo,Tshuapa,Befale,Central de Befale,0.3941622,20.84295647
4129,Democratic Republic of the Congo,Tshopo,Banalia,Belgika,1.001438333,25.242445
4130,Democratic Republic of the Congo,Tshopo,Banalia,Central de Banalia,1.556031667,25.31858833
4131,Democratic Republic of the Congo,Sud-Kivu,Kabare,Kavumu,-2.29642671,28.79887846
4132,Democratic Republic of the Congo,Sud-Kivu,Kabare,Mudaka,-2.40164366,28.81221742
4133,Democratic Republic of the Congo,Sud-Kivu,Idjwi,Chikoma,-2.095512557,29.04211418
4134,Democratic Republic of the Congo,Sud-Kivu,Idjwi,Kishenyi,-2.017198384,29.06561246
