Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Nov 2021,NER,24937140,Agadez,2021-10-01,2021-12-31,665377,66284,0.1,400739,0.6,198353,0.3,64405,0.1,1880,0,0,0,2022-06-01,2022-08-31,665377,114069,0.17,329346,0.49,221962,0.33,108339,0.16,5730,0.01,0,0,,,,,,,,,,,,,,,
Nov 2021,NER,24937140,Niamey,2021-10-01,2021-12-31,1400682,140068,0.1,980477,0.7,280136,0.2,140068,0.1,0,0,0,0,2022-06-01,2022-08-31,1400682,154075,0.11,980477,0.7,266130,0.19,154075,0.11,0,0,0,0,,,,,,,,,,,,,,,
Mar 2021,NER,23959931,Tillabéri,2021-03-01,2021-05-31,3803635,522717,0.13,2328209,0.61,952709,0.25,512833,0.13,9883,0,0,0,2021-06-01,2021-08-31,3803635,686506,0.18,2004028,0.53,1113101,0.29,621594,0.16,64912,0.02,0,0,,,,,,,,,,,,,,,
Mar 2021,NER,23959931,Tahoua,2021-03-01,2021-05-31,4373569,259427,0.06,3311974,0.76,802169,0.18,219136,0.05,40291,0.01,0,0,2021-06-01,2021-08-31,4373569,359906,0.08,2950472,0.67,1063191,0.24,305289,0.07,54617,0.01,0,0,,,,,,,,,,,,,,,
Mar 2021,NER,23959931,Agadez,2021-03-01,2021-05-31,487637,40648,0.08,340437,0.7,106553,0.22,40648,0.08,0,0,0,0,2021-06-01,2021-08-31,487637,54255,0.11,315991,0.65,117391,0.24,52885,0.11,1370,0,0,0,,,,,,,,,,,,,,,
Mar 2021,NER,23959931,Maradi,2021-03-01,2021-05-31,4516146,328725,0.08,3300630,0.73,886791,0.2,298178,0.07,30547,0.01,0,0,2021-06-01,2021-08-31,4516146,428628,0.1,2888939,0.64,1198579,0.27,385809,0.09,42818,0.01,0,0,,,,,,,,,,,,,,,
Mar 2021,NER,23959931,Zinder,2021-03-01,2021-05-31,4585859,213475,0.05,3491915,0.76,880469,0.19,213475,0.05,0,0,0,0,2021-06-01,2021-08-31,4585859,367723,0.08,2997178,0.65,1220958,0.27,349369,0.08,18354,0,0,0,,,,,,,,,,,,,,,
Mar 2021,NER,23959931,Dosso,2021-03-01,2021-05-31,2842696,80414,0.03,2307981,0.81,454301,0.16,80414,0.03,0,0,0,0,2021-06-01,2021-08-31,2842696,167004,0.06,2086834,0.73,588858,0.21,165544,0.06,1460,0,0,0,,,,,,,,,,,,,,,
Mar 2021,NER,23959931,Diffa,2021-03-01,2021-05-31,784183,148628,0.19,418839,0.53,216716,0.28,127477,0.16,21151,0.03,0,0,2021-06-01,2021-08-31,784183,190753,0.24,336291,0.43,257139,0.33,156340,0.2,34413,0.04,0,0,,,,,,,,,,,,,,,
Mar 2021,NER,23959931,Niamey,2021-03-01,2021-05-31,1359050,27181,0.02,1195964,0.88,135905,0.1,27181,0.02,0,0,0,0,2021-06-01,2021-08-31,1359050,54362,0.04,1128012,0.83,176677,0.13,54362,0.04,0,0,0,0,,,,,,,,,,,,,,,
Nov 2020,NER,24560000,Maradi,2020-10-01,2020-12-31,4516146,123320,0.03,3581859,0.79,810967,0.18,119986,0.03,3335,0,0,0,2021-06-01,2021-08-31,4516146,210063,0.04,3279301,0.73,1026781,0.23,198032,0.04,12032,0,0,0,,,,,,,,,,,,,,,
Nov 2020,NER,24560000,Dosso,2020-10-01,2020-12-31,2842696,71203,0.03,2389751,0.84,381741,0.13,71203,0.03,0,0,0,0,2021-06-01,2021-08-31,2842696,147141,0.05,2114427,0.74,581129,0.2,147141,0.05,0,0,0,0,,,,,,,,,,,,,,,
Nov 2020,NER,24560000,Zinder,2020-10-01,2020-12-31,4585859,155470,0.03,3703124,0.81,727264,0.16,150797,0.03,4673,0,0,0,2021-06-01,2021-08-31,4585859,238543,0.05,3307000,0.72,1040317,0.23,233869,0.05,4673,0,0,0,,,,,,,,,,,,,,,
Nov 2020,NER,24560000,Tillabéri,2020-10-01,2020-12-31,3672410,336661,0.09,2511656,0.68,824093,0.22,308263,0.08,28398,0.01,0,0,2021-06-01,2021-08-31,3672410,475287,0.13,2203800,0.6,993323,0.27,427585,0.12,47702,0.01,0,0,,,,,,,,,,,,,,,
Nov 2020,NER,24560000,Agadez,2020-10-01,2020-12-31,643731,47741,0.07,413270,0.64,182720,0.28,47309,0.07,432,0,0,0,2021-06-01,2021-08-31,643731,53094,0.08,432093,0.67,158544,0.25,53094,0.08,0,0,0,0,,,,,,,,,,,,,,,
Nov 2020,NER,24560000,Diffa,2020-10-01,2020-12-31,784184,83958,0.11,504354,0.64,195872,0.25,77941,0.1,6016,0.01,0,0,2021-06-01,2021-08-31,784184,129215,0.16,410588,0.52,244381,0.31,120076,0.15,9139,0.01,0,0,,,,,,,,,,,,,,,
Nov 2020,NER,24560000,Tahoua,2020-10-01,2020-12-31,4373569,260928,0.06,3265128,0.75,847512,0.19,256222,0.06,4707,0,0,0,2021-06-01,2021-08-31,4373569,314875,0.07,2981461,0.68,1077233,0.25,305126,0.07,9750,0,0,0,,,,,,,,,,,,,,,
Nov 2020,NER,24560000,Niamey,2020-10-01,2020-12-31,1359050,149496,0.11,924154,0.68,285401,0.21,135905,0.1,13591,0.01,0,0,2021-06-01,2021-08-31,1359050,163086,0.12,951335,0.7,244629,0.18,163086,0.12,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,NGA,0,Abia,2024-03-01,2024-05-31,5308014,479961,0.09,2289037,0.43,2539017,0.48,479961,0.09,0,0,0,0,2024-06-01,2024-08-31,5308018,586121,0.11,1953960,0.37,2767936,0.52,586121,0.11,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,NGA,0,Borno,2024-03-01,2024-05-31,6670589,1831994,0.27,2495955,0.37,2342641,0.35,1620497,0.24,211497,0.03,0,0,2024-06-01,2024-08-31,6746245,2160156,0.32,1962850,0.29,2623239,0.39,1849230,0.27,310926,0.05,0,0,,,,,,,,,,,,,,,
Mar 2024,NGA,0,Federal Capital Territory,2024-03-01,2024-05-31,5452363,530371,0.1,3279040,0.6,1642953,0.3,530371,0.1,0,0,0,0,2024-06-01,2024-08-31,5452363,668746,0.12,2920726,0.54,1862891,0.34,668746,0.12,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,NGA,0,Ogun,2024-03-01,2024-05-31,8542271,335420,0.04,6162976,0.72,2043875,0.24,335420,0.04,0,0,0,0,2024-06-01,2024-08-31,8542271,620160,0.07,5365700,0.63,2556411,0.3,620160,0.07,0,0,0,0,,,,,,,,,,,,,,,
